ID ,Species,Site,Depth,Status,Oocyte_Area,,1,2,3,4
PAST_69,PAST,FTC,,B,,,1 (slide 9),,,
OFRA_11,OFRA,FTC,,UB,,,"7 (slide1), 3 (s2), 11(s3), 7(s4), 8l, 9lc, 10lc",,,
OFRA_13,OFRA,FTC,,B,,,"7l, 9l, 10c",,,
OFRA_14A,OFRA,FTC,,UB,,,"3l, 4l, 5lc, 6l, 7c, 8c, 9lc, 10lc",,,
OFRA_14B,OFRA,,,,,,"4c, 5c, 6c, 7cl, 8lc, 9c, 10c",,,
PAST_61,PAST,FTC,,UB,,,"2lc,3c, 5c, 6lc, 7cl",,,
PAST_64,PAST,FTC,,UB,,,6c,,,
OFRA_36,OFRA,GMK,,UB,,,"6l, 8lc, 9c, 10l",,,
OFRA_37,OFRA,GMK,,UB,,,9c (1 egg),,,
OFRA_39,OFRA,GMK,,UB,,,"2l, 3l, 4l, 6lc, 7lc, 8lc, 9lc, 10c",,,
OFRA_40,OFRA,GMK,,UB,,,3l,,,
OFRA_23,OFRA,FTC,,B,,,"4c, 5cl, 6c, 8lc, 10lc",,,
OFRA_24,OFRA,FTC,,B,,,"2l, 3lc, 4lc, 5c, 6cl, 7cl, 8cl, 9c, 10cl",,,
OFRA_25,OFRA,FTC,,UB,,,10l (1 egg),,,
OFRA_29,OFRA,FTC,,B,,,"7cl, 8cl, 9cl, 10cl",,,
OFRA_31,OFRA,GMK,,B,,,"7c, 10c",,,
OFRA_33,OFRA,GMK,,UB,,,"7l,",,,
OFRA_34,OFRA,GMK,,B,,,"8l, 9c",,,
